epoch,accuracy,loss,val_accuracy,val_loss
0,0.32090983,1.7923299115488673,0.3701588213443756,1.70128547381345
1,0.42042565,1.55498466501997,0.47199776768684387,1.426936604545521
2,0.46939984,1.4329134523899703,0.3484257459640503,1.8367736607283462
3,0.4938521,1.3535473918735415,0.5151852965354919,1.3068609366213655
4,0.51022327,1.305297929472699,0.5175536274909973,1.3264273874737753
5,0.5258978,1.2669278851721062,0.5154638886451721,1.3053339014946168
6,0.5376015,1.2355703826965285,0.4753413200378418,1.3927331777893093
7,0.54665786,1.2149834938236006,0.5483421683311462,1.2538101688073053
8,0.55560976,1.1902218048398723,0.53886878490448,1.2283634760812252
9,0.5612526,1.173834083778631,0.5103092789649963,1.2961137115407302
10,0.5659201,1.1622746102658512,0.5394260287284851,1.248705215575669
11,0.57313037,1.1445814803906538,0.5371969938278198,1.2546452872432285
12,0.5775889,1.1356183514292244,0.5651991963386536,1.1677155204057095
13,0.58107215,1.1208246514866056,0.5365003943443298,1.2586188399383171
14,0.5866453,1.1065702824645907,0.554193377494812,1.2291457838386373
15,0.58991957,1.102311039715045,0.5665923953056335,1.1720293104964135
16,0.59180045,1.0924938194405185,0.5631095170974731,1.179140433839318
17,0.59556234,1.083478480543212,0.5803844928741455,1.1371670109410577
18,0.5982444,1.075447120100209,0.569378674030304,1.1913726828197277
19,0.60225016,1.0687325624194015,0.554611325263977,1.2618865375234476
20,0.60183215,1.0638641238694255,0.584006667137146,1.1403666877686796
21,0.60921663,1.0524441726263623,0.5678461790084839,1.159208627041418
22,0.6063604,1.0493043645006508,0.5682641267776489,1.2058235917392963
23,0.613083,1.0371406671042445,0.5982167720794678,1.0912830462260443
24,0.61269987,1.0387171167075653,0.5959877371788025,1.1025560558191014
25,0.61496395,1.032931002399516,0.5965449810028076,1.1176561918156365
26,0.61980563,1.0248071884173842,0.5817776322364807,1.1488535218864604
27,0.61959666,1.0220644842881161,0.5986347198486328,1.1162685443179858
28,0.62175626,1.0166413192112222,0.6042072772979736,1.0719923386005148
29,0.62447315,1.011932691929337,0.5940373539924622,1.1024373278009356
